timestamp,cpu_percent,memory_mb,memory_percent
1765719900,7.1,2616,32.94
1765719903,13.4,2615,32.93
1765719906,30.9,2616,32.94
1765719909,5.1,2618,32.97
1765719912,10.8,2616,32.94
1765719914,27.8,2618,32.97
1765719917,15.9,2605,32.80
1765719920,9.9,2578,32.46
1765719922,14.1,2555,32.17
1765719925,11.9,2547,32.07
1765719928,10.9,2519,31.72
1765719930,14.1,2526,31.81
1765719933,10.1,2514,31.66
1765719935,6.7,2443,30.76
1765719938,22.4,2442,30.75
1765719940,9.4,2441,30.74
1765719943,65.2,2468,31.08
1765719945,16.1,2464,31.03
1765719948,19.3,2465,31.04
1765719950,8.3,2464,31.03
1765719952,9.1,2465,31.04
1765719955,2.9,2463,31.02
1765719957,9.5,2463,31.02
1765719959,6.5,2465,31.04
