starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 10 14:49:52 2025	1765352992	1	2	2	2
Wed Dec 10 14:49:52 2025	1765352992	0	2	2	2
Wed Dec 10 14:49:52 2025	1765352992	1	2	3	2
Wed Dec 10 14:49:52 2025	1765352992	1	3	4	3
Wed Dec 10 14:49:52 2025	1765352992	1	3	4	3
Wed Dec 10 14:49:52 2025	1765352992	1	4	5	4
Wed Dec 10 14:49:52 2025	1765352992	1	4	5	4
Wed Dec 10 14:49:52 2025	1765352992	1	5	5	5
Wed Dec 10 14:49:52 2025	1765352992	1	6	6	6
Wed Dec 10 14:49:52 2025	1765352992	1	6	7	6
Wed Dec 10 14:49:52 2025	1765352992	1	6	7	6
Wed Dec 10 14:49:52 2025	1765352992	1	7	7	7
Wed Dec 10 14:49:52 2025	1765352992	1	7	7	7
Wed Dec 10 14:49:52 2025	1765352992	1	7	7	7
Wed Dec 10 14:49:52 2025	1765352992	1	7	8	7
Wed Dec 10 14:49:52 2025	1765352992	0	7	8	7
Wed Dec 10 14:49:52 2025	1765352992	0	8	8	8
Wed Dec 10 14:49:52 2025	1765352992	0	8	8	8
Wed Dec 10 14:49:52 2025	1765352992	0	8	9	8
Wed Dec 10 14:49:52 2025	1765352992	0	8	9	8
Wed Dec 10 14:49:52 2025	1765352992	0	9	9	8
Wed Dec 10 14:49:55 2025	1765352995	0	16	16	16
Wed Dec 10 14:49:55 2025	1765352995	0	16	16	16
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	18	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:52 2025	1765352992	0	18	18	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	18	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	18	18
Wed Dec 10 14:49:52 2025	1765352992	0	18	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	19	18
Wed Dec 10 14:49:52 2025	1765352992	0	18	19	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	19	18
Wed Dec 10 14:49:54 2025	1765352994	0	18	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	18	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	18
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	18
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	18
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:54 2025	1765352994	0	19	19	19
Wed Dec 10 14:49:52 2025	1765352992	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
Wed Dec 10 14:49:53 2025	1765352993	0	19	19	19
