starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 14 18:39:11 2025	1765712351	0	6	6	4
Sun Dec 14 18:39:11 2025	1765712351	0	6	6	4
Sun Dec 14 18:39:03 2025	1765712343	0	6	6	6
Sun Dec 14 18:39:03 2025	1765712343	0	6	6	6
Sun Dec 14 18:39:03 2025	1765712343	0	6	6	5
Sun Dec 14 18:39:03 2025	1765712343	0	6	6	5
Sun Dec 14 18:39:11 2025	1765712351	0	6	6	6
Sun Dec 14 18:39:10 2025	1765712350	0	6	6	6
Sun Dec 14 18:39:10 2025	1765712350	0	6	6	6
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:04 2025	1765712344	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	4
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	5
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	6
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	6
Sun Dec 14 18:39:04 2025	1765712344	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:11 2025	1765712351	0	7	7	7
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	5
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	5
Sun Dec 14 18:39:03 2025	1765712343	0	7	7	5
Sun Dec 14 18:39:10 2025	1765712350	0	7	7	7
Sun Dec 14 18:39:10 2025	1765712350	0	7	7	7
