timestamp,cpu_percent,memory_mb,memory_percent
1765712340,0,8439.62,25.99
1765712344,23.61,8451.01,26.03
1765712347,26.52,8464.85,26.07
1765712351,43.22,8458.42,26.05
1765712355,26.56,8462.02,26.06
1765712358,16.96,8435.49,25.98
1765712362,22.08,8435.43,25.98
1765712365,16.42,8435.19,25.98
1765712369,21.83,8435.27,25.98
1765712372,16.42,8435.3,25.98
1765712376,21.89,8435.04,25.98
1765712379,16.04,8435.03,25.98
1765712383,20.83,8434.91,25.98
1765712386,16.54,8435.03,25.98
1765712390,21.17,8434.98,25.98
1765712393,15.96,8435.28,25.98
1765712397,22.17,8435.29,25.98
